cce_loss,cce_accuracy,disc_loss,gan_loss
"tf.Tensor(33.200523, shape=(), dtype=float32)","tf.Tensor(0.3434066, shape=(), dtype=float32)","tf.Tensor(0.0048423787, shape=(), dtype=float32)","tf.Tensor(5.4391994, shape=(), dtype=float32)"
"tf.Tensor(31.9547, shape=(), dtype=float32)","tf.Tensor(0.3804809, shape=(), dtype=float32)","tf.Tensor(0.0048488327, shape=(), dtype=float32)","tf.Tensor(5.4847636, shape=(), dtype=float32)"
"tf.Tensor(32.27101, shape=(), dtype=float32)","tf.Tensor(0.3786623, shape=(), dtype=float32)","tf.Tensor(0.0045536575, shape=(), dtype=float32)","tf.Tensor(5.6215363, shape=(), dtype=float32)"
"tf.Tensor(32.273098, shape=(), dtype=float32)","tf.Tensor(0.37908465, shape=(), dtype=float32)","tf.Tensor(0.004509515, shape=(), dtype=float32)","tf.Tensor(5.628074, shape=(), dtype=float32)"
"tf.Tensor(32.10635, shape=(), dtype=float32)","tf.Tensor(0.38050315, shape=(), dtype=float32)","tf.Tensor(0.0044424543, shape=(), dtype=float32)","tf.Tensor(5.6337357, shape=(), dtype=float32)"
"tf.Tensor(32.204853, shape=(), dtype=float32)","tf.Tensor(0.38120127, shape=(), dtype=float32)","tf.Tensor(0.0044253403, shape=(), dtype=float32)","tf.Tensor(5.6166396, shape=(), dtype=float32)"
"tf.Tensor(32.193348, shape=(), dtype=float32)","tf.Tensor(0.38155627, shape=(), dtype=float32)","tf.Tensor(0.004223115, shape=(), dtype=float32)","tf.Tensor(5.7503376, shape=(), dtype=float32)"
"tf.Tensor(32.19563, shape=(), dtype=float32)","tf.Tensor(0.38225392, shape=(), dtype=float32)","tf.Tensor(0.004067707, shape=(), dtype=float32)","tf.Tensor(5.8605857, shape=(), dtype=float32)"
"tf.Tensor(32.218597, shape=(), dtype=float32)","tf.Tensor(0.3826687, shape=(), dtype=float32)","tf.Tensor(0.003960696, shape=(), dtype=float32)","tf.Tensor(5.9201865, shape=(), dtype=float32)"
"tf.Tensor(32.21164, shape=(), dtype=float32)","tf.Tensor(0.38351983, shape=(), dtype=float32)","tf.Tensor(0.003841111, shape=(), dtype=float32)","tf.Tensor(5.989798, shape=(), dtype=float32)"
"tf.Tensor(32.18481, shape=(), dtype=float32)","tf.Tensor(0.3838575, shape=(), dtype=float32)","tf.Tensor(0.0037489256, shape=(), dtype=float32)","tf.Tensor(6.0346875, shape=(), dtype=float32)"
"tf.Tensor(32.22715, shape=(), dtype=float32)","tf.Tensor(0.38376865, shape=(), dtype=float32)","tf.Tensor(0.0037053495, shape=(), dtype=float32)","tf.Tensor(6.0285735, shape=(), dtype=float32)"
"tf.Tensor(32.203926, shape=(), dtype=float32)","tf.Tensor(0.38417247, shape=(), dtype=float32)","tf.Tensor(0.0036628982, shape=(), dtype=float32)","tf.Tensor(6.0214486, shape=(), dtype=float32)"
"tf.Tensor(32.19421, shape=(), dtype=float32)","tf.Tensor(0.38433462, shape=(), dtype=float32)","tf.Tensor(0.0036337257, shape=(), dtype=float32)","tf.Tensor(6.0089755, shape=(), dtype=float32)"
"tf.Tensor(32.164036, shape=(), dtype=float32)","tf.Tensor(0.38464996, shape=(), dtype=float32)","tf.Tensor(0.003581215, shape=(), dtype=float32)","tf.Tensor(6.0150332, shape=(), dtype=float32)"
"tf.Tensor(32.156353, shape=(), dtype=float32)","tf.Tensor(0.3849888, shape=(), dtype=float32)","tf.Tensor(0.003502957, shape=(), dtype=float32)","tf.Tensor(6.0555053, shape=(), dtype=float32)"
"tf.Tensor(32.18159, shape=(), dtype=float32)","tf.Tensor(0.38476014, shape=(), dtype=float32)","tf.Tensor(0.003434648, shape=(), dtype=float32)","tf.Tensor(6.078039, shape=(), dtype=float32)"
"tf.Tensor(32.16813, shape=(), dtype=float32)","tf.Tensor(0.38500217, shape=(), dtype=float32)","tf.Tensor(0.0033721933, shape=(), dtype=float32)","tf.Tensor(6.0959764, shape=(), dtype=float32)"
"tf.Tensor(32.191826, shape=(), dtype=float32)","tf.Tensor(0.38487953, shape=(), dtype=float32)","tf.Tensor(0.0033101542, shape=(), dtype=float32)","tf.Tensor(6.1168027, shape=(), dtype=float32)"
"tf.Tensor(32.151436, shape=(), dtype=float32)","tf.Tensor(0.3857392, shape=(), dtype=float32)","tf.Tensor(0.0032479747, shape=(), dtype=float32)","tf.Tensor(6.141845, shape=(), dtype=float32)"
"tf.Tensor(32.13906, shape=(), dtype=float32)","tf.Tensor(0.3860454, shape=(), dtype=float32)","tf.Tensor(0.0031798796, shape=(), dtype=float32)","tf.Tensor(6.180465, shape=(), dtype=float32)"
"tf.Tensor(32.117428, shape=(), dtype=float32)","tf.Tensor(0.3866348, shape=(), dtype=float32)","tf.Tensor(0.0031165227, shape=(), dtype=float32)","tf.Tensor(6.213163, shape=(), dtype=float32)"
"tf.Tensor(32.101955, shape=(), dtype=float32)","tf.Tensor(0.38685966, shape=(), dtype=float32)","tf.Tensor(0.0030540559, shape=(), dtype=float32)","tf.Tensor(6.2491207, shape=(), dtype=float32)"
"tf.Tensor(32.08667, shape=(), dtype=float32)","tf.Tensor(0.3870871, shape=(), dtype=float32)","tf.Tensor(0.0030115207, shape=(), dtype=float32)","tf.Tensor(6.2542653, shape=(), dtype=float32)"
"tf.Tensor(32.066097, shape=(), dtype=float32)","tf.Tensor(0.38747168, shape=(), dtype=float32)","tf.Tensor(0.0029711218, shape=(), dtype=float32)","tf.Tensor(6.2574544, shape=(), dtype=float32)"
"tf.Tensor(32.05338, shape=(), dtype=float32)","tf.Tensor(0.3875966, shape=(), dtype=float32)","tf.Tensor(0.0029204134, shape=(), dtype=float32)","tf.Tensor(6.2807546, shape=(), dtype=float32)"
"tf.Tensor(32.043747, shape=(), dtype=float32)","tf.Tensor(0.38760674, shape=(), dtype=float32)","tf.Tensor(0.002868407, shape=(), dtype=float32)","tf.Tensor(6.3055067, shape=(), dtype=float32)"
"tf.Tensor(31.887024, shape=(), dtype=float32)","tf.Tensor(0.38961318, shape=(), dtype=float32)","tf.Tensor(0.0028176194, shape=(), dtype=float32)","tf.Tensor(6.3304944, shape=(), dtype=float32)"
"tf.Tensor(31.731812, shape=(), dtype=float32)","tf.Tensor(0.39154834, shape=(), dtype=float32)","tf.Tensor(0.0027655503, shape=(), dtype=float32)","tf.Tensor(6.3626447, shape=(), dtype=float32)"
"tf.Tensor(27.938957, shape=(), dtype=float32)","tf.Tensor(0.41483516, shape=(), dtype=float32)","tf.Tensor(0.0010542731, shape=(), dtype=float32)","tf.Tensor(7.926223, shape=(), dtype=float32)"
"tf.Tensor(22.60398, shape=(), dtype=float32)","tf.Tensor(0.51467144, shape=(), dtype=float32)","tf.Tensor(0.0012626025, shape=(), dtype=float32)","tf.Tensor(7.3251977, shape=(), dtype=float32)"
